period,MBBL,MBBL/D,Rolling_Avg_12m,year,month,quarter,dayofyear,weekofyear,is_month_start,is_month_end,lag_1,lag_2,lag_3,lag_4,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
2008-11-01,17728,591,537.25,2008,11,4,306,44,1,0,583.0,571.0,561.0,541.0,571.6666666666666,554.3333333333334,11.015141094571208,20.353541870289934,567.0
2008-12-01,17572,567,544.25,2008,12,4,336,49,1,0,591.0,583.0,571.0,561.0,581.6666666666666,563.8333333333334,10.06644591369327,22.184829651490507,556.0
2009-01-01,17232,556,548.0,2009,1,1,1,1,1,0,567.0,591.0,583.0,571.0,580.3333333333334,569.0,12.220201853214727,17.527121840136484,579.0
2009-02-01,16215,579,555.5,2009,2,1,32,5,1,0,556.0,567.0,591.0,583.0,571.3333333333334,571.5,17.897858344877836,13.292855223727951,566.0
2009-03-01,17543,566,559.5833333333334,2009,3,1,60,9,1,0,579.0,556.0,567.0,591.0,567.3333333333334,574.5,11.503622617824062,12.453915047044202,568.0
2009-04-01,17031,568,562.75,2009,4,2,91,14,1,0,566.0,579.0,556.0,567.0,567.0,573.6666666666666,11.532562594669928,12.894443247603204,583.0
2009-05-01,18060,583,566.8333333333334,2009,5,2,121,18,1,0,568.0,566.0,579.0,556.0,571.0,571.1666666666666,6.999999999998571,12.1559313368272,594.0
2009-06-01,17830,594,571.6666666666666,2009,6,2,152,23,1,0,583.0,568.0,566.0,579.0,572.3333333333334,569.8333333333334,9.291573243176476,9.745084230813818,603.0
2009-07-01,18698,603,576.8333333333334,2009,7,3,182,27,1,0,594.0,583.0,568.0,566.0,581.6666666666666,574.3333333333334,13.05118130030049,13.63329258343924,596.0
2009-08-01,18471,596,579.75,2009,8,3,213,31,1,0,603.0,594.0,583.0,568.0,593.3333333333334,582.1666666666666,10.016652800876813,14.469508169446007,617.0
2009-09-01,18502,617,583.5833333333334,2009,9,3,244,36,1,0,596.0,603.0,594.0,583.0,597.6666666666666,585.0,4.725815626250453,15.362291495704657,607.0
2009-10-01,18812,607,585.5833333333334,2009,10,4,274,40,1,0,617.0,596.0,603.0,594.0,605.3333333333334,593.5,10.692676621562663,16.7898779030404,615.0
2009-11-01,18449,615,587.5833333333334,2009,11,4,305,44,1,0,607.0,617.0,596.0,603.0,606.6666666666666,600.0,10.503967504391504,11.730302638849865,598.0
2009-12-01,18525,598,590.1666666666666,2009,12,4,335,49,1,0,615.0,607.0,617.0,596.0,613.0,605.3333333333334,5.2915026221272585,9.521904571338524,586.0
2010-01-01,18165,586,592.6666666666666,2010,1,1,1,53,1,0,598.0,615.0,607.0,617.0,606.6666666666666,606.0,8.504900548114172,8.671793355414499,635.0
2010-02-01,17778,635,597.3333333333334,2010,2,1,32,5,1,0,586.0,598.0,615.0,607.0,599.6666666666666,603.1666666666666,14.57166199626221,11.990273836142187,661.0
2010-03-01,20488,661,605.25,2010,3,1,60,9,1,0,635.0,586.0,598.0,615.0,606.3333333333334,609.6666666666666,25.54081700598693,16.89575883663353,672.0
2010-04-01,20165,672,613.9166666666666,2010,4,2,91,13,1,0,661.0,635.0,586.0,598.0,627.3333333333334,617.0,38.08324215889858,27.15142721845423,675.0
2010-05-01,20917,675,621.5833333333334,2010,5,2,121,17,1,0,672.0,661.0,635.0,586.0,656.0,627.8333333333334,18.999999999999353,34.371014920506624,698.0
2010-06-01,20933,698,630.25,2010,6,2,152,22,1,0,675.0,672.0,661.0,635.0,669.3333333333334,637.8333333333334,7.371114795830317,38.38445866057894,703.0
2010-07-01,21785,703,638.5833333333334,2010,7,3,182,26,1,0,698.0,675.0,672.0,661.0,681.6666666666666,654.5,14.224392195567052,39.328106997401186,710.0
2010-08-01,21998,710,648.0833333333334,2010,8,3,213,30,1,0,703.0,698.0,675.0,672.0,692.0,674.0,14.933184523067268,24.947945807201183,734.0
2010-09-01,22024,734,657.8333333333334,2010,9,3,244,35,1,0,710.0,703.0,698.0,675.0,703.6666666666666,686.5,6.027713773339714,19.745885647371047,730.0
2010-10-01,22627,730,668.0833333333334,2010,10,4,274,39,1,0,734.0,710.0,703.0,698.0,715.6666666666666,698.6666666666666,16.258331197675545,23.09689733851125,754.0
2010-11-01,22607,754,679.6666666666666,2010,11,4,305,44,1,0,730.0,734.0,710.0,703.0,724.6666666666666,708.3333333333334,12.858201014656384,21.805198156993086,750.0
2010-12-01,23250,750,692.3333333333334,2010,12,4,335,48,1,0,754.0,730.0,734.0,710.0,739.3333333333334,721.5,12.858201014656384,21.50116275923413,733.0
2011-01-01,22724,733,704.5833333333334,2011,1,1,1,52,1,0,750.0,754.0,730.0,734.0,744.6666666666666,730.1666666666666,12.858201014656384,20.59530690875347,712.0
2011-02-01,19928,712,711.0,2011,2,1,32,5,1,0,733.0,750.0,754.0,730.0,745.6666666666666,735.1666666666666,11.150485789117464,15.753306531193749,784.0
2011-03-01,24313,784,721.25,2011,3,1,60,9,1,0,712.0,733.0,750.0,754.0,731.6666666666666,735.5,19.035055380358358,15.122830422876712,764.0
2011-04-01,22912,764,728.9166666666666,2011,4,2,91,13,1,0,784.0,712.0,733.0,750.0,743.0,743.8333333333334,37.02701716314691,24.806585147209525,780.0
2011-05-01,24166,780,737.6666666666666,2011,5,2,121,17,1,0,764.0,784.0,712.0,733.0,753.3333333333334,749.5,37.16629297270995,24.89779106666076,809.0
2011-06-01,24279,809,746.9166666666666,2011,6,2,152,22,1,0,780.0,764.0,784.0,712.0,776.0,753.8333333333334,10.583005244257158,27.917139299465518,842.0
2011-07-01,26094,842,758.5,2011,7,3,182,26,1,0,809.0,780.0,764.0,784.0,784.3333333333334,763.6666666666666,22.81081614790026,35.62396197316868,869.0
2011-08-01,26938,869,771.75,2011,8,3,213,31,1,0,842.0,809.0,780.0,764.0,810.3333333333334,781.8333333333334,31.021497922139506,43.728327965585166,894.0
2011-09-01,26810,894,785.0833333333334,2011,9,3,244,35,1,0,869.0,842.0,809.0,780.0,840.0,808.0,30.049958402632964,40.43266006583199,922.0
2011-10-01,28574,922,801.0833333333334,2011,10,4,274,39,1,0,894.0,869.0,842.0,809.0,868.3333333333334,826.3333333333334,26.006409466385474,50.94572275143225,958.0
2011-11-01,28752,958,818.0833333333334,2011,11,4,305,44,1,0,922.0,894.0,869.0,842.0,895.0,852.6666666666666,26.514147167125138,53.07227776029418,975.0
2011-12-01,30226,975,836.8333333333334,2011,12,4,335,48,1,0,958.0,922.0,894.0,869.0,924.6666666666666,882.3333333333334,32.08322510804212,54.069091602003404,1006.0
2012-01-01,31185,1006,859.5833333333334,2012,1,1,1,52,1,0,975.0,958.0,922.0,894.0,951.6666666666666,910.0,27.06165799305922,51.447060168674234,1034.0
2012-02-01,29986,1034,886.4166666666666,2012,2,1,32,5,1,0,1006.0,975.0,958.0,922.0,979.6666666666666,937.3333333333334,24.337899115028552,51.659139236594626,1046.0
2012-03-01,32413,1046,908.25,2012,3,1,61,9,1,0,1034.0,1006.0,975.0,958.0,1005.0,964.8333333333334,29.512709126746987,51.924624858210485,1069.0
2012-04-01,32062,1069,933.6666666666666,2012,4,2,92,13,1,0,1046.0,1034.0,1006.0,975.0,1028.6666666666667,990.1666666666666,20.5264057577869,47.33039897006899,1127.0
2012-05-01,34950,1127,962.5833333333334,2012,5,2,122,18,1,0,1069.0,1046.0,1034.0,1006.0,1049.6666666666667,1014.6666666666666,17.785762095937997,42.81899889845537,1136.0
2012-06-01,34084,1136,989.8333333333334,2012,6,2,153,22,1,0,1127.0,1069.0,1046.0,1034.0,1080.6666666666667,1042.8333333333333,41.741266551618935,52.56392933053938,1158.0
2012-07-01,35894,1158,1016.1666666666666,2012,7,3,183,26,1,0,1136.0,1127.0,1069.0,1046.0,1110.6666666666667,1069.6666666666667,36.36390151418434,52.10246315353967,1197.0
2012-08-01,37098,1197,1043.5,2012,8,3,214,31,1,0,1158.0,1136.0,1127.0,1069.0,1140.3333333333333,1095.0,15.947831618539762,51.907610232020026,1217.0
2012-09-01,36508,1217,1070.4166666666667,2012,9,3,245,35,1,0,1197.0,1158.0,1136.0,1127.0,1163.6666666666667,1122.1666666666667,30.892285984259818,56.08356859781649,1264.0
2012-10-01,39191,1264,1098.9166666666667,2012,10,4,275,40,1,0,1217.0,1197.0,1158.0,1136.0,1190.6666666666667,1150.6666666666667,30.005555041246822,53.000628927079696,1250.0
2012-11-01,37487,1250,1123.25,2012,11,4,306,44,1,0,1264.0,1217.0,1197.0,1158.0,1226.0,1183.1666666666667,34.39476704383905,52.69313680799436,1272.0
2012-12-01,39425,1272,1148.0,2012,12,4,336,48,1,0,1250.0,1264.0,1217.0,1197.0,1243.6666666666667,1203.6666666666667,24.131583730316795,50.34547314968861,1268.0
2013-01-01,39301,1268,1169.8333333333333,2013,1,1,1,1,1,0,1272.0,1250.0,1264.0,1217.0,1262.0,1226.3333333333333,11.135528725658043,44.003030198680904,1262.0
2013-02-01,35322,1262,1188.8333333333333,2013,2,1,32,5,1,0,1268.0,1272.0,1250.0,1264.0,1263.3333333333333,1244.6666666666667,11.71893055416274,30.761447733584077,1328.0
2013-03-01,41164,1328,1212.3333333333333,2013,3,1,60,9,1,0,1262.0,1268.0,1272.0,1250.0,1267.3333333333333,1255.5,5.033222956842811,20.275601100814665,1353.0
2013-04-01,40584,1353,1236.0,2013,4,2,91,14,1,0,1328.0,1262.0,1268.0,1272.0,1286.0,1274.0,36.496575181788714,27.480902459696555,1367.0
2013-05-01,42362,1367,1256.0,2013,5,2,121,18,1,0,1353.0,1328.0,1262.0,1268.0,1314.3333333333333,1288.8333333333333,47.01418225741347,41.46524649228585,1382.0
2013-06-01,41474,1382,1276.5,2013,6,2,152,22,1,0,1367.0,1353.0,1328.0,1262.0,1349.3333333333333,1308.3333333333333,19.75685535031563,46.72757929388198,1430.0
2013-07-01,44343,1430,1299.1666666666667,2013,7,3,182,27,1,0,1382.0,1367.0,1353.0,1328.0,1367.3333333333333,1326.6666666666667,14.502873278536818,51.00457495819401,1500.0
2013-08-01,46514,1500,1324.4166666666667,2013,8,3,213,31,1,0,1430.0,1382.0,1367.0,1353.0,1393.0,1353.6666666666667,32.908965343808134,56.33708074320182,1527.0
2013-09-01,45816,1527,1350.25,2013,9,3,244,35,1,0,1500.0,1430.0,1382.0,1367.0,1437.3333333333333,1393.3333333333333,59.34082349726284,62.35275989614301,1552.0
2013-10-01,48114,1552,1374.25,2013,10,4,274,40,1,0,1527.0,1500.0,1430.0,1382.0,1485.6666666666667,1426.5,50.06329327294902,72.71519786124092,1555.0
2013-11-01,46649,1555,1399.6666666666667,2013,11,4,305,44,1,0,1552.0,1527.0,1500.0,1430.0,1526.3333333333333,1459.6666666666667,26.006409466385403,77.69856283526805,1508.0
2013-12-01,46750,1508,1419.3333333333333,2013,12,4,335,48,1,0,1555.0,1552.0,1527.0,1500.0,1544.6666666666667,1491.0,15.373136743465894,70.42158759925427,1559.0
2014-01-01,48329,1559,1443.5833333333333,2014,1,1,1,1,1,0,1508.0,1555.0,1552.0,1527.0,1538.3333333333333,1512.0,26.31222782915385,45.95214902482205,1551.0
2014-02-01,43419,1551,1467.6666666666667,2014,2,1,32,5,1,0,1559.0,1508.0,1555.0,1552.0,1540.6666666666667,1533.5,28.3607710285404,25.571468475616875,1596.0
2014-03-01,49478,1596,1490.0,2014,3,1,60,9,1,0,1551.0,1559.0,1508.0,1555.0,1539.3333333333333,1542.0,27.428695436226967,20.099751242228635,1598.0
2014-04-01,47940,1598,1510.4166666666667,2014,4,2,91,14,1,0,1596.0,1551.0,1559.0,1508.0,1568.6666666666667,1553.5,24.006943440040388,27.991070004547474,1687.0
2014-05-01,52296,1687,1537.0833333333333,2014,5,2,121,18,1,0,1598.0,1596.0,1551.0,1559.0,1581.6666666666667,1561.1666666666667,26.57693235370284,33.29514479118761,1731.0
2014-06-01,51934,1731,1566.1666666666667,2014,6,2,152,22,1,0,1687.0,1598.0,1596.0,1551.0,1627.0,1583.1666666666667,51.97114584074476,60.72039745148375,1788.0
2014-07-01,55417,1788,1596.0,2014,7,3,182,27,1,0,1731.0,1687.0,1598.0,1596.0,1672.0,1620.3333333333333,67.75691846593942,72.59660230800176,1802.0
2014-08-01,55847,1802,1621.1666666666667,2014,8,3,213,31,1,0,1788.0,1731.0,1687.0,1598.0,1735.3333333333333,1658.5,50.6392469664913,91.60949732423765,1869.0
2014-09-01,56077,1869,1649.6666666666667,2014,9,3,244,36,1,0,1802.0,1788.0,1731.0,1687.0,1773.6666666666667,1700.3333333333333,37.60762334066458,89.99703698825964,1891.0
2014-10-01,58632,1891,1677.9166666666667,2014,10,4,274,40,1,0,1869.0,1802.0,1788.0,1731.0,1819.6666666666667,1745.8333333333333,43.29357150124362,95.53934617039299,1881.0
2014-11-01,56435,1881,1705.0833333333333,2014,11,4,305,44,1,0,1891.0,1869.0,1802.0,1788.0,1854.0,1794.6666666666667,46.357307945996595,78.16563609839172,1931.0
2014-12-01,59857,1931,1740.3333333333333,2014,12,4,335,49,1,0,1881.0,1891.0,1869.0,1802.0,1880.3333333333333,1827.0,11.015141094570348,63.46337526478989,1902.0
2015-01-01,58974,1902,1768.9166666666667,2015,1,1,1,1,1,0,1931.0,1881.0,1891.0,1869.0,1901.0,1860.3333333333333,26.457513110645145,54.9023375337173,1861.0
2015-02-01,52101,1861,1794.75,2015,2,1,32,5,1,0,1902.0,1931.0,1881.0,1891.0,1904.6666666666667,1879.3333333333333,25.106440076866598,43.38048716492504,1928.0
2015-03-01,59770,1928,1822.4166666666667,2015,3,1,60,9,1,0,1861.0,1902.0,1931.0,1881.0,1898.0,1889.1666666666667,35.17101079013736,25.238198562223634,1915.0
2015-04-01,57442,1915,1848.8333333333333,2015,4,2,91,14,1,0,1928.0,1861.0,1902.0,1931.0,1897.0,1899.0,33.77869150810846,27.224988521569013,1933.0
2015-05-01,59937,1933,1869.3333333333333,2015,5,2,121,18,1,0,1915.0,1928.0,1861.0,1902.0,1901.3333333333333,1903.0,35.52933060632149,27.5753513123508,1951.0
